lr,keep rate,batch size,val_accuracy,epoch,
0.5,0.9,16,0.805555556,[30],
0.5,0.9,32,0.77777778,[27],
0.5,0.9,64,0.731481484,[25],
0.5,0.95,16,0.805555556,[25, 27]
0.5,0.95,32,0.759259257,[30],
0.5,0.95,64,0.708333331,[30],
0.5,1,16,0.685185185,[29],
0.5,1,32,0.717592595,[28],
0.5,1,64,0.643518516,[30],
1,0.9,16,0.763888889,[29],
1,0.9,32,0.787037039,[29],
1,0.9,64,0.754629627,[20],
1,0.95,16,0.759259259,[30],
1,0.95,32,0.750000002,[29],
1,0.95,64,0.680555553,[24],
1,1,16,0.726851852,[19],
1,1,32,0.689814815,[12, 27]
1,1,64,0.680555556,[24],
2,0.9,16,0.763888889,[30],
2,0.9,32,0.768518516,[25],
2,0.9,64,0.708333336,[29],
2,0.95,16,0.694444444,[29],
2,0.95,32,0.726851852,[28],
2,0.95,64,0.615740743,[30],
2,1,16,0.731481481,[24],
2,1,32,0.717592595,[30],
2,1,64,0.666666664,[21],
